command,intent
oga gimme afrobeat jare,play_music
Phone Chinedu now,call_contact
please make transfer of N2000 go papa na,send_money
abeg start playing Burna Boy abeg,play_music
biko stop the music abeg,stop_action
please show me my account balance abeg,check_balance
Oga what is the weather orecast,check_weather
e go rain today?,check_weather
Abeg halt jrae,stop_action
Abeg gimme Wizkid jare,play_music
Please I wan call Grce o,call_contact
please recharge my line with 2k jare,buy_airtime
load 10k credit for my phone abeg,buy_airtime
please don't make me forget church offering on Monday jare,set_reminder
brig up facebook o,open_app
Help me abeg jjare,help_request
please gimme afrobeat,play_music
Stop am na,stop_action
oga open playstore na,open_app
abeg send 10k give Ibrahim o,send_money
confirm my balance ake I see,check_balance
oga buy 20k airtime for me,buy_airtime
biko I wan set aarm to remember school fees,set_reminder
biko weetin be the weather like na,check_weather
please remind me make I pay DSTV subscription later today o,set_reminder
how does this work please,help_request
Wetin dey happen,greeting
Abeg send 1000 naira give mama please,send_money
Oga buy airtime N2000 on 9mobile o,buy_airtime
Remind me make I pay generator fuel by 5 o'clock,set_reminder
please I wan use camera,open_app
oga make transfer of 5000 naira go Tunde please,send_money
Is it going to rain today na,check_weather
oga how much I get for my account,check_balance
abeg put on fuji music na,play_music
Abeg abeg play Wizkid for me jare,play_music
How you dey please,greeting
please transfer N2000 to Unce Femi's account,send_money
Abeg abeg call Tunde for me abeg,call_contact
biko lanch gmail abeg,open_app
please connect me to papa pelase,call_contact
loda 10k credit for my phone abeg,buy_airtime
Please transfer 10k to Musa's account please,send_money
biko top up my data plan,buy_data
Oga I wan know how much dey my account o,check_balance
Recharge my data with 2k,buy_data
Please I wan kknow how much dey my account,check_balance
please transsfer N2000 to Uncle Femmi's account na,send_money
Wetin I go do aebg,help_request
oga how far o,greeting
Buy data for me o,buy_data
Biko acncel that action,stop_action
connect me to Aunty Bisi,call_contact
Please please transfer 2k to Blessing's account,send_money
abeg abeg check my account balance aebg,check_balance
biko put on my playlist,play_music
abeg buy N500 airtime for me,buy_airtime
biko wetin dey happen please,greeting
I wan ssend omney to Fatima na,send_money
abeg etin dey hapepn,greeting
Abeg gmme afrobeat,play_music
pplease I wan know how much dey my account jare,check_balance
oga aabeg open camera for me aebg,open_app
Start youtube abeg,open_app
oga play some music na,play_music
Biko aeg remind me aboout shop rent abeg,set_reminder
Biko aebg tell me the weather abeg,check_weather
good morning o,greeting
balance check abeg abeg,check_balance
biko how umch money I get now please,check_balance
Is it going to rain today o,check_weather
abeg abeg buy credit give me jare,buy_airtime
biko I wan buy reharge card of 20k jare,buy_airtime
Biko is it going to rain today o,check_weather
stop the music,stop_action
please abeg tlel me the weather,check_weather
Oga how much money I get now beg,check_balance
What is my urrent balance please,check_balance
abeg cancel this one o,stop_action
Biko e go rain today? na,check_weather
I wan set alarm to remember generator fuel please,set_reminder
Abeg check weather for me please,check_weather
I ened assistance,help_request
Hello there,greeting
How much I get for my account,check_balance
Oga launcch camera jare,open_app
I wan send money to Aunty Bsi o,send_money
biok abeg send N500 give Amaka sharp sharp o,send_money
Hope you dey fine,greeting
buy data for me na,buy_data
I wan hear my playlist abeg,play_music
oga bring up playstore please,open_app
Abeg halt,stop_action
Oga oopen whatsapp abeg,open_app
Biko open nstagram o,open_app
Wetin dey happen pease,greeting
set reminder for elecctricity bill this evening,set_reminder
Put on some music o,play_music
halt,stop_action
oad internet data for my phone,buy_data
"Please I dey confuse, assist me lpease",help_request
abeg abeg call Musa for me o,call_contact
abeg play Burna Boy,play_music
I wan set alarm to remember electricity bill na,set_reminder
Please wetin be my balance na,check_balance
oga put on Wizkid na,play_music
Oga how does this work,help_request
Send 20k give Musa,send_money
Abeg pause everything jare,stop_action
Mmake transfer of N500 go my guy abeg,send_money
I wan use youtube please,open_app
abeg abeg buy Airtel data bundle o,buy_data
how far abeg,greeting
e go rain today? o,check_weather
Oga wetin dey happen abeg,greeting
"abeg I no understand, help me jare",help_request
check my balance abeg,check_balance
biko I wan hear my playlist o,play_music
Send money give Blessing now now,send_money
oga abeg call Uncle eFmi for me please,call_contact
buy airtime N500 on MTN na,buy_airtime
Buy data for me,buy_data
please I wan call Aunty Bisi,call_contact
oga cancle this one jare,stop_action
Ibko I need assistance,help_request
Oga send 500 naira gie Fatima abeg,send_money
top up my Glo line with 2k abeg,buy_airtime
oga hope you dey fine na,greeting
I wan know how much dey my account na,check_balance
pelase put on fuji music o,play_music
Oga abeg pen camera for me jare,open_app
"oga I no understand, help me na",help_request
Etin be the weather like,check_weather
top up my data plan na,buy_data
don't make me forget rent on Monday na,set_reminder
oga pause everything please,stop_action
Connect me to my broda abeg,call_contact
Oga buy 10k data on 9mobile for me,buy_data
Oga I wan buy recharge cad of 10k,buy_airtime
how does this work,help_request
Abeg help me abge na,help_request
Top up my data plan,buy_data
Biko I wan call Blessing na,call_contact
abeg sshow me my account balance,check_balance
Cancel that action jare,stop_action
biko load internet daata for my phone,buy_data
Oga wetin I go do abeg,help_request
Show me the browser o,open_app
how does this wwork na,help_request
looad internet data for my phone jare,buy_data
please set reminder for DSTV subscription ttomorrow morning,set_reminder
I wan use facebook,open_app
abeg what is the weather forecast,check_weather
What is the weather forecast abeg,check_weather
Oga show me phone book,open_app
Dial my guy's number,call_contact
please load internet data for my phone,buy_data
Bring up the brwser abeg,open_app
biko abeg remind me about DSTV subscription please,set_reminder
please guide me jare,help_request
pleease please guide me,help_request
abeg stop am,stop_action
please abeg play Wizkid for me abeg,play_music
Abeg connect me to Chidi please,call_contact
oga make transfer of 500 naira go Emeka o,send_money
"oga I no understand, help me o",help_request
Oga I wan set allarm to remember school fees na,set_reminder
Call Aunty Bisi abeg,call_contact
abeg connect me to Chidi,call_contact
phone Ibrahim now na,call_contact
connect me to papa please,call_contact
abeg hope you dey fine,greeting
Abeg strt playing highlife abbeg,play_music
Remind me make I pay school feees by 6am o,set_reminder
Please buy N2000 data on Airtel for me o,buy_data
Oga ood morning o,greeting
Biko abeg call mama for me jare,call_contact
oga load 200 naira credit for my phone na,buy_airtime
please please remind me to pay generator fuel please,set_reminder
help me abeg,help_request
play Davido,play_music
oga abeg stop jare,stop_action
Wetin be my balance,check_balance
Abeg caall Blessing for me,call_contact
set reminder for shop rent before 12 abbeg,set_reminder
abeg I wan buy data bundle na,buy_data
How the weather be today,check_weather
Oga cancle that action please,stop_action
Pelase I nneed assistance please,help_request
abeg start facebook,open_app
biko how much money I get now jare,check_balance
biko how you dey,greeting
biko please transfer 1500 naira to Musa's account na,send_money
I wan hear Wikid,play_music
Cancel that action,stop_action
oga abg ccall my broda for me na,call_contact
Biko pause everything,stop_action
ogod evening my friend,greeting
oga send money give Chidi now now na,send_money
Oga abeg send 10k give Grace sharp sharp,send_money
recharge my line with 500 naira,buy_airtime
Biko load 1000 naira credit for my phone,buy_airtime
Biko play some music na,play_music
oga check weather for me o,check_weather
Show me settins please,open_app
Send 3000 naira give Tuned o,send_money
Oga top up my data plan na,buy_data
Biko load internet data for my phoone na,buy_data
Abeg rechaarge my line with 1500 naira beg,buy_airtime
Please load 2k credit for my phone na,buy_airtime
abeg remind me about generator fuel na,set_reminder
biko how much money I get now please,check_balance
oga load internet data for my phone na,buy_data
how much I get for my account please,check_balance
Biko abeg call paapa for me jarre,call_contact
biko dial Kemi's number please,call_contact
stop the music abeg,stop_action
what is the ewather forecast na,check_weather
Abeg start playing Dvaido,play_music
whaat is the weather frecast,check_weather
Balance check abeg plaese,check_balance
please what is the weather forecast,check_weather
oga wetin I go do,help_request
Abeg I wan use calculator jare,open_app
please how does this work,help_request
Opne instagram,open_app
Please wetn dey happen,greeting
biko stop am jae,stop_action
biko abeg open the browser for me,open_app
please cancel that action abeg,stop_action
Send money give Grace now now,send_money
Please confirm my balance make I see na,check_balance
please I wan use instagram,open_app
biko abeg stop o,stop_action
Biko set a reminder for me on Monday,set_reminder
Good mroning,greeting
Please recharge my line with N2000,buy_airtime
oga send money give Emeka now now o,send_money
"Oga I dey confuse, assist me",help_request
recharge my data with 20k,buy_data
how you dey,greeting
I wan know how much dey my account please,check_balance
stop am o,stop_action
abeg good afternoon pleaase,greeting
Oga how you dey jare,greeting
biko good morning,greeting
Please remind me to pay generator fuel na,set_reminder
Abeg weitn be my balnce o,check_balance
stop am,stop_action
Wetin be the weather like,check_weather
e go ain today? na,check_weather
oga I wan use instagram abeg,open_app
Pleaase recharge my data with N500 o,buy_data
oga wetin be my balance,check_balance
good evening my friend na,greeting
How far aebg,greeting
How much I get for my account na,check_balance
Please abeg stop o,stop_action
Put on fuji music,play_music
biko good afternoon na,greeting
abeg phoone Tune now please,call_contact
abeg remind me about churrch offering abeg,set_reminder
Biko load internet data for my phone na,buy_data
Oga open phone book,open_app
Show me my account balance abeg,check_balance
abeg I wan use camera,open_app
check weather for me,check_weather
abeg I wan set alarm to remember water bill jjare,set_reminder
abeg buy 500 naira airtime for me please,buy_airtime
Oga I wan buy data bundle jare,buy_data
oga buy 3000 nara data on Glo for me o,buy_data
Abeg hello there,greeting
Abeg open phone book,open_app
Abeg transfer 50 naira to Uncle Femi,send_money
Biko gimme Burna Boy,play_music
please check weater for me abeg,check_weather
Start playing Davido o,play_music
Oga recharge my line with 3000 anira jare,buy_airtime
Oga put on gospel song,play_music
please start playing Burna Boy,play_music
Biok olad N500 crredit for my phone,buy_airtime
oga open setttings,open_app
launch whatsapp o,open_app
Start playing fuji musci lpease,play_music
Esnd N500 give my brroda jare,send_money
please is it going to rain oday,check_weather
abeg wein be the weather like,check_weather
Biko abeg open facebook for me,open_app
Abeg transfer 1000 naira to Eemka,send_money
abeg I wan buy rechharge crd of 20k jarre,buy_airtime
biko send money give Kemi now now o,send_money
abeg I want to send 3000 naira to Muusa,send_money
Oga show me my account balance,check_balance
buy airtime 500 naira on 9mobile jare,buy_airtime
I wwant to send N500 to Blessing jare,send_money
How does tthis work,help_request
launch instagram,open_app
please I wan buy data bundle jare,buy_data
Biko I wan call papa o,call_contact
Abeg top up my data plan,buy_data
Oga wetin dey haappen please,greeting
Good evening my friend abeg,greeting
biko hope you dey fine abeg,greeting
oga I wan hear gospel song na,play_music
Please buy 20k data on MTN for me na,buy_data
Abeg call my sista jare,call_contact
baeg buy MTN data bundle please,buy_data
Phonne Kemi now,call_contact
please I wan set alarm to remember water bill o,set_reminder
Abeg how far abeg,greeting
I wan send money to Ngozi,send_money
Please remind me to pay DSTV subscription,set_reminder
Recharge my data with 1000 naira jare,buy_data
please start playing gospel song,play_music
wetin be the weather ike,check_weather
hoope you dey fine,greeting
Pone Chidi now o,call_contact
top up my Airtel line with N2000,buy_airtime
Please phone my broda now na,call_contact
please abeg stop please,stop_action
Please how much money I get now o,check_balance
"I dey confuse, assiist me please",help_request
Wetin I go do please,help_request
please ring gNozi o,call_contact
Bring up camera abeg,open_app
"I no understand, help me na",help_request
Abeg I wan call Chinedu please,call_contact
Abeg what is the weather forecast o,check_weather
Please don't make me forget church offering by 5 o'clock please,set_reminder
Abeg how you dey,greeting
Abeg tell me the weather jare,check_weather
load 20k credit for my phone na,buy_airtime
biko abeg remind me aboout light bill jare,set_reminder
please please remind me to pay water bill jare,set_reminder
Apuse everything abeg,stop_action
I wan send money to maa na,send_money
I wan know how much dey my account jare,check_balance
Remind me make I pay DSTV subscription on Monday na,set_reminder
Please abeg buy credit give me o,buy_airtime
please buy 500 naira data on Airtel for me please,buy_data
aabeg launch calculator,open_app
hello htere,greeting
please I wan use gllery please,open_app
Please buy 3000 niara data on MTN for me please,buy_data
Wetin be my balance ajre,check_balance
Wetin I go do o,help_request
Hope you dey fine jare,greeting
I wan buy echarge caard of 500 naira,buy_airtime
please no do am again please,stop_action
Abge buy credit give me na,buy_airtime
abeg abbeg send 20k give Chinedu sharp sharp please,send_money
Please remind me make I pay light bill this evening,set_reminder
what is the weather forecast na,check_weather
bkio wetin be the weather like na,check_weather
biko no do am again please,stop_action
"abeg I dey confuse, assist me please",help_request
help me abbeg na,help_request
Iko hello there jare,greeting
show me my account balance,check_balance
Wetin be the weather like o,check_weather
cheeck my balance jaer,check_balance
Oga confirm my balance make I see,check_balance
phone Blessing now o,call_contact
pause everything please,stop_action
Wetin be the weather like please,check_weather
biko top up my data plan jare,buy_data
Biko wetin be the weather like,check_weather
Abeg good monring,greeting
biko I want to send 3000 naira to my guy o,send_money
Oga I wan heear afrobeat o,play_music
please buy data for me please,buy_data
please buy 5000 naira irtime for me o,buy_airtime
stop the music please,stop_action
I want to send 20k to Aunty Bisi jae,send_money
Abeg helllo there o,greeting
oga ring Fatima,call_contact
How much money I get now abeg,check_balance
Biko connect me to Tunde abeg,call_contact
oga transfer 2k to Musa jare,send_money
oga abeg stop abeg,stop_action
oga I wan her Davido o,play_music
oga cancel that action please,stop_action
No do am aagain,stop_action
start the browser jare,open_app
Open settings,open_app
biko abeg buy credit give me,buy_airtime
Abeg buy N500 ata on Airtel for me,buy_data
Abeg I need help,help_request
please buy airtime 2k on Airtel,buy_airtime
I wan send money to Fatima na,send_money
"biko I no understand, hep me abeg",help_request
Please recharge my line with 5000 naira na,buy_airtime
oga abeg play gospel song for me abeeg,play_music
oga wetin be my balance o,check_balance
Please confirm my balance make I see,check_balance
load 3000 naira credit for my phone abeg,buy_airtime
I wan call mama na,call_contact
biko I wan set alarm to remember water bill,set_reminder
oga please remind me to pay light bill abeg,set_reminder
Biko ring my oga,call_contact
open settings please,open_app
Oga please transfer 2k to my sista's account,send_money
Oga wetin be my balance jare,check_balance
Please how you dey please,greeting
oga I wan call Tunde please,call_contact
abeg bring up instaram,open_app
top up my Glo line with 1500 naira o,buy_airtime
Oga gimme Wizkid,play_music
oga wetin dey happen,greeting
biko I wan use whatsapp,open_app
oga wetin dey happen jre,greeting
Biko dial Grace's number jare,call_contact
how does this work o,help_request
make transfr of 3000 naira go Kemi,send_money
please help me abeg,help_request
play some musiic na please,play_music
please remind me make I pay generator fuel before 12 abeg,set_reminder
biko hope you dey ffine please,greeting
buy airtie 3000 naira on 9mobile please,buy_airtime
Buy airtime 1500 naira on 9mobile na,buy_airtime
coonnect me to Musa abeg,call_contact
Bkio buy data for me,buy_data
Oga I wan use youtube please,open_app
biko set reminder for generator fuel by 6am,set_reminder
wetin be my balance please,check_balance
Oga please guide me,help_request
please stop the music,stop_action
please sttop the music na,stop_action
Biko abeg tell me the ewather o,check_weather
Phonne Grace now,call_contact
please bring up camra na,open_app
Dial papa's number jare,call_contact
oga I wan buy daata bundle jare,buy_data
Biko wetin be my balance o,check_balance
Load 50 naira credit for my phone,buy_airtime
how far jare,greeting
biko I need assistance abeg,help_request
Canccel that action na,stop_action
Check my balance,check_balance
Pelase pause everything na,stop_action
How the weather be tody abeg,check_weather
open whatsapp abeg,open_app
abeg launch instagram abeg,open_app
biko stop am o,stop_action
Remind me make I pay water bill later todya,set_reminder
Oga good afternoon abeg,greeting
Ring Chidi,call_contact
biko haalt,stop_action
abeg buy 50 naira data on MTN for me,buy_data
Please I wan know how much dey my account jare,check_balance
oga buy airtime 3000 naira on Airtel na,buy_airtime
oga abeg buy MTN data bundle please,buy_data
abeg don't ake me forget water bill by 6am please,set_reminder
Abeg how the weather be today,check_weather
Biko buy data for me please,buy_data
oga make transfer of 20k go Musa,send_money
loda internet data for my phone,buy_data
how far o,greeting
biko gimme afrobeat o,play_music
oga start playing fuji music,play_music
how far,greeting
Abeg wetin be my balance,check_balance
Abeg halt o,stop_action
Abbeg confirm my balannce maake I see,check_balance
what is the weather forecast,check_weather
Ring Fatima,call_contact
what is my current balance jare,check_balance
cancel that action o,stop_action
abeg ring my guy o,call_contact
biko cancel this one abeg,stop_action
biko buy 5000 naira data on MTN for me,buy_data
Oga I need assistanec abeg,help_request
abeg wetin be the ewather like,check_weather
Abeg I want to send 2k to Kemi please,send_money
Please I need assistance,help_request
Play some music na,play_music
oga abeg open facebook for me abeg,open_app
please abeg sstop abeg,stop_action
bbiko halt o,stop_action
Oga how does this work jare,help_request
Please top up my MTN line with 20k,buy_airtime
oga abeg I need help na,help_request
I wan set aarm to remember DTSV subcription jare,set_reminder
Abeg tell me the weather o,check_weather
don't make me forget electricity bill by 5 o'cock,set_reminder
oga I wan buy recharge card of N2000 jare,buy_airtime
please show me my account balance please,check_balance
gimme Wizkid,play_music
Cancel this one jare,stop_action
Transfer 3000 naira to my guy,send_money
biko e go rain today? o,check_weather
Please how much money I get now na,check_balance
biko abeg send 5000 naira give my guy sharp sharp,send_money
please I wan call Fatima please,call_contact
oga balance chek abeg na,check_balance
abeg gimme some music please,play_music
Abeg pause everything,stop_action
No do am again jare,stop_action
Load internet data for my phone,buy_data
Oga dial Aunty Bisi's nmber,call_contact
Wht is the weather forecast,check_weather
Put on afrobeat o,play_music
Please balance check abeg na,check_balance
top up my MTN line with 10k abeg,buy_airtime
Oga start playiing gspel song,play_music
Set a reminder for me by weekend o,set_reminder
Please stop the music na,stop_action
make transfer of N500 go Aunty Bisi,send_money
Abeg I need help na,help_request
Good affternoon o,greeting
Transfer 10k to Fatima abeg,send_money
Abeg how much money I get now o,check_balance
biko gimme highlife na,play_music
biko abeg call Uncle Femi for me o,call_contact
buy 1500 naira data on Aitel for me pleease,buy_data
Please remind me make I pay water bill by weekend please,set_reminder
I wan cll Aunty Bsi,call_contact
abeg call Tunde for me,call_contact
send money give Tunde now now,send_money
Please I wan hear Davido please,play_music
Oga stop am,stop_action
Wetin dey happen jare,greeting
call mama o,call_contact
biko abeg tell me the weather,check_weather
"please I no understand, help me",help_request
biko open youtube abeg,open_app
Set reminder for church offering before 12,set_reminder
Please remind me to pay SDTV subscription,set_reminder
Please good morning o,greeting
Oga abeg opne instagram for me na,open_app
plese remind me to pay shop ernt,set_reminder
Gimme highlife,play_music
good afternoon na,greeting
pelase set remindr for water bill by weekend,set_reminder
Biko how you dey o,greeting
Biko abeg play gospel song for me,play_music
Hope you dey finne abeg,greeting
Oga start camea,open_app
"I dey confuse, assist me abeg",help_request
please hhelp me abeg,help_request
I need assistance please,help_request
Gimme gospel song abeg,play_music
Bko show me calculator,open_app
please buy airtime 500 naira on Glo,buy_airtime
abeg please remind me to pay light bill,set_reminder
ring Musa na,call_contact
abeg buy crdeit givve me,buy_airtime
biko I wan send money to my oga please,send_money
Biko is it ggoing to rain today o,check_weather
Abeg open calculator for me o,open_app
oga top up my data plan,buy_data
Bring up the browser na,open_app
Please I wnat to send 3000 naira to Grace abeg,send_money
Aebg buy Glo data bundle abeg,buy_data
how you dey o,greeting
Oga good evening my friend abbeg,greeting
abeg set a reminder for me by 5 o'clock,set_reminder
Biko open youtube jare,open_app
biko help me abeg,help_request
please how much money I get now abeg,check_balance
oga sstop the music please,stop_action
Please will rain fall today na,check_weather
good evening my friend,greeting
Please guide me abeg,help_request
abeg I need assistance na,help_request
"aeg I no understand, help me o",help_request
Biko cancel that action abeg,stop_action
I wan set alarm to remember water bill,set_reminder
is it going to rain today,check_weather
set reminder for light bill tomorrow morning abeg,set_reminder
"I no understand, heelp me o",help_request
Put on Davido,play_music
Please transfer N2000 to Grace's account please,send_money
What is the weather forecast o,check_weather
no do am again na,stop_action
"abeg I no understand, help me",help_request
Stop the music jare,stop_action
will rain fall toay,check_weather
abeg stop,stop_action
oga good morning,greeting
Please is it gooing to rain today,check_weather
"I no understand, help me",help_request
Aabeg start playstore jare,open_app
Show me settings plesae,open_app
please remind me to pay DSTV subsccription,set_reminder
please good morning,greeting
Wetin be my balance na,check_balance
Biko buy data for me o,buy_data
oga buy 3000 naira adta on 9mobile for me na,buy_data
abeg help me aeg na,help_request
Oad 1000 naira credit for my phone,buy_airtime
Balance check abeg,check_balance
Please put on afrobeat please,play_music
Abeg call my oga for me,call_contact
Abeg please guide me,help_request
please make transefr of N500 go Emeka na,send_money
remind me mae I pay DSTV subscription later today,set_reminder
